;         19-MAR-2012 ADMIN.TXT REFERENCE TABLE
;
;-- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------
;CO ADMINISTRATION ENGLISH NAME                        ADMINISTRATION FRENCH NAME                         ADMINISTRATION SPANISH NAME
;DE
;-- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------
AFG Afghanistan                                        Afghanistan                                        Afganistán                                        
AFS South Africa                                       Sudafricaine (Rép.)                                Sudafricana (Rep.)                                
AGL Angola                                             Angola                                             Angola                                            
ALB Albania                                            Albanie                                            Albania                                           
ALG Algeria                                            Algérie                                            Argelia                                           
AND Andorra                                            Andorre                                            Andorra                                           
ARG Argentina                                          Argentine                                          Argentina                                         
ARM Armenia                                            Arménie                                            Armenia                                           
ARS Saudi Arabia                                       Arabie saoudite                                    Arabia Saudita                                    
ATG Antigua and Barbuda                                Antigua-et-Barbuda                                 Antigua y Barbuda                                 
AUS Australia                                          Australie                                          Australia                                         
AUT Austria                                            Autriche                                           Austria                                           
AZE Azerbaijan                                         Azerbaidjan                                        Azerbaiyan                                        
B   Brazil                                             Brésil                                             Brasil                                            
BAH Bahamas                                            Bahamas                                            Bahamas                                           
BDI Burundi                                            Burundi                                            Burundi                                           
BEL Belgium                                            Belgique                                           Bélgica                                           
BEN Benin                                              Bénin                                              Benin                                             
BFA Burkina Faso                                       Burkina Faso                                       Burkina Faso                                      
BGD Bangladesh                                         Bangladesh                                         Bangladesh                                        
BHR Bahrain                                            Bahreïn                                            Bahrein                                           
BIH Bosnia and Herzegovina                             Bosnie-Herzégovine                                 Bosnia y Herzegovina
BLR Belarus                                            Bélarus                                            Belarús                                           
BLZ Belize                                             Belize                                             Belice                                            
BOL Bolivia                                            Bolivie                                            Bolivia                                           
BOT Botswana                                           Botswana                                           Botswana                                          
BRB Barbados                                           Barbade                                            Barbados                                          
BRU Brunei Darussalam                                  Brunéi Darussalam                                  Brunei Darussalam                                 
BTN Bhutan                                             Bhoutan                                            Bhután                                            
BUL Bulgaria                                           Bulgarie                                           Bulgaria                                          
CAF Central African Rep.                               Centrafricaine (Rép.)                              Centroafricana (Rep.)                             
CAN Canada                                             Canada                                             Canadá                                            
CBG Cambodia                                           Cambodge                                           Camboya                                           
CHL Chile                                              Chili                                              Chile                                             
CHN China                                              Chine                                              China                                             
CLM Colombia                                           Colombie                                           Colombia                                          
CLN Sri Lanka                                          Sri Lanka                                          Sri Lanka                                         
CME Cameroon                                           Cameroun                                           Camerún                                           
COD Dem. Reb. of Congo                                 Rép. dém. du Congo                                 Rep. Dem. del Congo
COG Congo                                              Congo                                              Congo                                             
COM Comoros                                            Comores                                            Comoras                                           
CPV Cape Verde                                         Cap-Vert                                           Cabo Verde                                        
CTI Côte d'Ivoire                                      Côte d'Ivoire                                      Côte d'Ivoire                                     
